import time: self [us] | cumulative | imported package
import time:       503 |        503 |               wandelbots_api_client.models.robot_tcps
import time:       710 |        710 |                 wandelbots_api_client.models.safety_setup_safety_settings
import time:       842 |        842 |                 wandelbots_api_client.models.safety_setup_safety_zone
import time:       672 |        672 |                 wandelbots_api_client.models.tool_geometry
import time:       967 |       3191 |               wandelbots_api_client.models.safety_setup
import time:       373 |        373 |                   wandelbots_api_client.models.service_status_phase
import time:       310 |        310 |                   wandelbots_api_client.models.service_status_severity
import time:       621 |       1303 |                 wandelbots_api_client.models.service_status_status
import time:       511 |       1813 |               wandelbots_api_client.models.service_status
import time:       551 |        551 |               wandelbots_api_client.models.set_playback_speed
import time:       762 |        762 |               wandelbots_api_client.models.status
import time:       670 |        670 |               wandelbots_api_client.models.stop_response
import time:       443 |        443 |               wandelbots_api_client.models.stream_move_backward
import time:       434 |        434 |               wandelbots_api_client.models.stream_move_forward
import time:       399 |        399 |               wandelbots_api_client.models.stream_move_playback_speed
import time:       409 |        409 |                 wandelbots_api_client.models.stream_move_to_trajectory
import time:       423 |        423 |                 wandelbots_api_client.models.stream_stop
import time:      1028 |       1859 |               wandelbots_api_client.models.stream_move_request
import time:       668 |        668 |               wandelbots_api_client.models.stream_move_response
import time:      1285 |       1285 |               wandelbots_api_client.models.tcp_pose_request
import time:       423 |        423 |               wandelbots_api_client.models.update_nova_version_request
import time:       598 |        598 |               wandelbots_api_client.models.update_program_metadata_request
import time:       580 |        580 |               wandelbots_api_client.models.update_recipe_metadata_request
import time:       696 |        696 |               wandelbots_api_client.models.update_trigger_request
import time:      1279 |       1279 |               wandelbots_api_client.models.value
import time:       515 |        515 |               wandelbots_api_client.models.virtual_robot_configuration
import time:      1469 |     251124 |             wandelbots_api_client.models
import time:       785 |        785 |                     six
import time:        20 |         20 |                     six.moves
import time:        14 |         14 |                     six.moves.urllib
import time:        13 |         13 |                     six.moves.urllib.parse
import time:       415 |        415 |                               colorama.ansi
import time:        42 |         42 |                                 msvcrt
import time:       135 |        135 |                                     _ctypes
import time:       668 |        668 |                                     ctypes._endian
import time:       639 |       1441 |                                   ctypes
import time:       367 |       1808 |                                 colorama.win32
import time:       352 |       2200 |                               colorama.winterm
import time:       588 |       3202 |                             colorama.ansitowin32
import time:       465 |       3666 |                           colorama.initialise
import time:       319 |       3985 |                         colorama
import time:       356 |        356 |                             executing._utils
import time:       355 |        355 |                               executing._exceptions
import time:      1405 |       1760 |                             executing._position_node_finder
import time:       806 |       2921 |                           executing.executing
import time:       303 |        303 |                           executing._pytest_utils
import time:       233 |        233 |                           executing.version
import time:       504 |       3961 |                         executing
import time:       264 |        264 |                         pygments
import time:       595 |        595 |                           pygments.formatters._mapping
import time:       279 |        279 |                           pygments.plugin
import time:       722 |        722 |                           pygments.util
import time:       680 |       2274 |                         pygments.formatters
import time:       553 |        553 |                               pygments.styles._mapping
import time:       279 |        831 |                             pygments.styles
import time:       321 |       1151 |                           pygments.formatter
import time:       332 |        332 |                           pygments.console
import time:       384 |        384 |                             pygments.token
import time:       344 |        728 |                           pygments.style
import time:       460 |       2669 |                         pygments.formatters.terminal256
import time:      1984 |       1984 |                           pygments.lexers._mapping
import time:       485 |        485 |                           pygments.modeline
import time:       321 |       2789 |                         pygments.lexers
import time:       429 |        429 |                             pygments.filter
import time:       449 |        449 |                             pygments.filters
import time:       384 |        384 |                             pygments.regexopt
import time:      1039 |       2300 |                           pygments.lexer
import time:       453 |        453 |                           pygments.unistring
import time:      7371 |      10123 |                         pygments.lexers.python
import time:       708 |        708 |                         icecream.coloring
import time:     16691 |      43461 |                       icecream.icecream
import time:       587 |        587 |                       icecream.builtins
import time:       393 |        393 |                       icecream.__version__
import time:      1163 |      45602 |                     icecream
import time:       302 |        302 |                           orderedmultidict.itemlist
import time:       599 |        901 |                         orderedmultidict.orderedmultidict
import time:       683 |       1584 |                       orderedmultidict
import time:       269 |        269 |                         furl.compat
import time:       301 |        569 |                       furl.common
import time:       358 |       2509 |                     furl.omdict1D
import time:      1045 |      49986 |                   furl.furl
import time:       326 |        326 |                   furl.__version__
import time:       437 |      50748 |                 furl
import time:       639 |        639 |                   humps.main
import time:       332 |        970 |                 humps
import time:       553 |        553 |                   websockets.imports
import time:       327 |        327 |                   websockets.version
import time:      1206 |       2085 |                 websockets
import time:       511 |        511 |                 pydantic._internal._validate_call
import time:       450 |        450 |                       dateutil._version
import time:       286 |        736 |                     dateutil
import time:       444 |        444 |                       dateutil._common
import time:       332 |        332 |                         dateutil.tz._common
import time:       369 |        369 |                         dateutil.tz._factories
import time:        11 |         11 |                           six.moves.winreg
import time:       292 |        302 |                         dateutil.tz.win
import time:       713 |       1715 |                       dateutil.tz.tz
import time:      1335 |       3494 |                     dateutil.parser._parser
import time:       691 |        691 |                     dateutil.parser.isoparser
import time:       492 |       5412 |                   dateutil.parser
import time:        38 |         38 |                     _winapi
import time:        28 |         28 |                     winreg
import time:       438 |        502 |                   mimetypes
import time:       521 |        521 |                       http
import time:       484 |        484 |                         email.feedparser
import time:       268 |        751 |                       email.parser
import time:      1021 |       2292 |                     http.client
import time:       766 |        766 |                       urllib3.exceptions
import time:       420 |        420 |                               urllib3.util.timeout
import time:       633 |       1052 |                             urllib3.util.connection
import time:       220 |        220 |                               urllib3.util.util
import time:        33 |         33 |                               brotlicffi
import time:        28 |         28 |                               brotli
import time:        27 |         27 |                               compression
import time:        26 |         26 |                               zstandard
import time:       416 |        748 |                             urllib3.util.request
import time:       251 |        251 |                             urllib3.util.response
import time:       420 |        420 |                             urllib3.util.retry
import time:       358 |        358 |                                 _hashlib
import time:        16 |         16 |                                 _blake2
import time:       304 |        678 |                               hashlib
import time:       519 |        519 |                               hmac
import time:      4301 |       4301 |                               urllib3.util.url
import time:       354 |        354 |                               urllib3.util.ssltransport
import time:       319 |       6169 |                             urllib3.util.ssl_
import time:       288 |        288 |                             urllib3.util.wait
import time:       320 |       9245 |                           urllib3.util
import time:         8 |       9252 |                         urllib3.util.connection
import time:       513 |       9765 |                       urllib3._base_connection
import time:       593 |        593 |                       urllib3._collections
import time:       295 |        295 |                       urllib3._version
import time:        23 |         23 |                           _queue
import time:       336 |        358 |                         queue
import time:       992 |        992 |                             urllib3.fields
import time:       423 |       1415 |                           urllib3.filepost
import time:        41 |         41 |                             brotlicffi
import time:        28 |         28 |                             brotli
import time:       407 |        407 |                               urllib3.http2
import time:       733 |        733 |                               urllib3.http2.probe
import time:       410 |        410 |                               urllib3.util.ssl_match_hostname
import time:       610 |       2158 |                             urllib3.connection
import time:        34 |         34 |                             compression
import time:        28 |         28 |                             zstandard
import time:       609 |       2896 |                           urllib3.response
import time:       432 |       4742 |                         urllib3._request_methods
import time:       298 |        298 |                         urllib3.util.proxy
import time:       496 |       5893 |                       urllib3.connectionpool
import time:       623 |        623 |                       urllib3.poolmanager
import time:       327 |      18260 |                     urllib3
import time:       557 |      21107 |                   wandelbots_api_client.configuration
import time:       885 |        885 |                   wandelbots_api_client.api_response
import time:      2181 |       2181 |                           multidict._abc
import time:      1559 |       1559 |                             platform
import time:       785 |        785 |                             multidict._multidict
import time:       383 |       2726 |                           multidict._compat
import time:       673 |       5578 |                         multidict
import time:       723 |       6300 |                       aiohttp.hdrs
import time:       281 |        281 |                             attr._compat
import time:        22 |         22 |                               unicodedata
import time:       910 |        910 |                               attr._config
import time:       414 |        414 |                                 attr.exceptions
import time:       861 |       1274 |                               attr.setters
import time:      1671 |       3875 |                             attr._make
import time:       490 |       4645 |                           attr.converters
import time:       598 |        598 |                           attr.filters
import time:      1985 |       1985 |                           attr.validators
import time:       297 |        297 |                           attr._cmp
import time:       408 |        408 |                           attr._funcs
import time:       307 |        307 |                           attr._next_gen
import time:       632 |        632 |                           attr._version_info
import time:       451 |       9321 |                         attr
import time:       718 |        718 |                                 yarl._quoting_c
import time:       268 |        986 |                               yarl._quoting
import time:       300 |       1285 |                             yarl._quoters
import time:       558 |       1843 |                           yarl._query
import time:       470 |        470 |                                 idna.idnadata
import time:       331 |        331 |                                 idna.intranges
import time:       707 |       1507 |                               idna.core
import time:       377 |        377 |                               idna.package_data
import time:       337 |       2221 |                             idna
import time:       320 |        320 |                               propcache
import time:       581 |        581 |                                 propcache._helpers_c
import time:       254 |        835 |                               propcache._helpers
import time:       435 |       1589 |                             propcache.api
import time:       338 |        338 |                             yarl._parse
import time:       301 |        301 |                             yarl._path
import time:       808 |       5255 |                           yarl._url
import time:       285 |       7383 |                         yarl
import time:       525 |        525 |                             aiohttp.typedefs
import time:       473 |        998 |                           aiohttp.http_exceptions
import time:       666 |        666 |                               aiohttp.client_exceptions
import time:       347 |        347 |                                   shlex
import time:       361 |        708 |                                 netrc
import time:      1155 |       1155 |                                     email._header_value_parser
import time:       560 |       1714 |                                   email.headerregistry
import time:       303 |        303 |                                   email.contentmanager
import time:       459 |       2475 |                                 email.policy
import time:       341 |        341 |                                     urllib.response
import time:       320 |        661 |                                   urllib.error
import time:        16 |         16 |                                   _scproxy
import time:       834 |       1510 |                                 urllib.request
import time:       308 |        308 |                                 aiohttp.log
import time:      3253 |       8252 |                               aiohttp.helpers
import time:       299 |        299 |                               aiohttp.tcp_helpers
import time:       343 |       9559 |                             aiohttp.base_protocol
import time:        37 |         37 |                               brotlicffi
import time:        29 |         29 |                               brotli
import time:       156 |        156 |                                 backports
import time:         6 |        162 |                               backports.zstd
import time:       446 |        672 |                             aiohttp.compression_utils
import time:       827 |        827 |                                 http.cookies
import time:       745 |        745 |                                 aiohttp._cookie_helpers
import time:       525 |       2096 |                               aiohttp.abc
import time:       554 |        554 |                               aiohttp._http_writer
import time:       443 |       3091 |                             aiohttp.http_writer
import time:       495 |        495 |                             aiohttp.streams
import time:       699 |        699 |                             aiohttp._http_parser
import time:      1071 |      15583 |                           aiohttp.http_parser
import time:       367 |        367 |                               aiohttp._websocket
import time:       599 |        599 |                               aiohttp._websocket.models
import time:       635 |        635 |                               aiohttp._websocket.mask
import time:       813 |       2412 |                             aiohttp._websocket.helpers
import time:       609 |        609 |                               aiohttp._websocket.reader_c
import time:      1077 |       1686 |                             aiohttp._websocket.reader
import time:       322 |        322 |                             aiohttp._websocket.writer
import time:       405 |       4823 |                           aiohttp.http_websocket
import time:       357 |      21760 |                         aiohttp.http
import time:       698 |        698 |                         aiohttp.payload
import time:       834 |        834 |                             aiohttp.multipart
import time:       290 |        290 |                             aiohttp.formdata
import time:      1125 |       2247 |                           aiohttp.client_reqrep
import time:       277 |       2524 |                         aiohttp.client_middlewares
import time:       650 |        650 |                         aiohttp.client_ws
import time:       409 |        409 |                               aiohappyeyeballs._staggered
import time:       697 |        697 |                               aiohappyeyeballs.types
import time:       577 |       1682 |                             aiohappyeyeballs.impl
import time:       362 |        362 |                             aiohappyeyeballs.utils
import time:       350 |       2394 |                           aiohappyeyeballs
import time:       439 |        439 |                           aiohttp.client_proto
import time:        35 |         35 |                             aiodns
import time:       399 |        434 |                           aiohttp.resolver
import time:     22070 |      25334 |                         aiohttp.connector
import time:       795 |        795 |                             _compat_pickle
import time:        47 |         47 |                             _pickle
import time:        36 |         36 |                                 org
import time:         5 |         41 |                               org.python
import time:         6 |         47 |                             org.python.core
import time:      1308 |       2196 |                           pickle
import time:      1447 |       3643 |                         aiohttp.cookiejar
import time:       797 |        797 |                               frozenlist._frozenlist
import time:       404 |       1200 |                             frozenlist
import time:       490 |       1690 |                           aiosignal
import time:      2648 |       4337 |                         aiohttp.tracing
import time:      1204 |      76851 |                       aiohttp.client
import time:       724 |        724 |                       aiohttp.client_middleware_digest_auth
import time:       407 |        407 |                       aiohttp.payload_streamer
import time:       473 |      84753 |                     aiohttp
import time:       346 |        346 |                         aiohttp_retry.retry_options
import time:       900 |       1245 |                       aiohttp_retry.client
import time:      1362 |       2607 |                     aiohttp_retry
import time:       372 |        372 |                     wandelbots_api_client.exceptions
import time:       380 |      88111 |                   wandelbots_api_client.rest
import time:       497 |     116511 |                 wandelbots_api_client.api_client
import time:     14674 |     185498 |               wandelbots_api_client.api.application_api
import time:     15168 |      15168 |               wandelbots_api_client.api.cell_api
import time:     23379 |      23379 |               wandelbots_api_client.api.controller_api
import time:     10179 |      10179 |               wandelbots_api_client.api.controller_ios_api
import time:     10759 |      10759 |               wandelbots_api_client.api.coordinate_systems_api
import time:      9930 |       9930 |               wandelbots_api_client.api.device_configuration_api
import time:     10602 |      10602 |               wandelbots_api_client.api.library_program_api
import time:      8249 |       8249 |               wandelbots_api_client.api.library_program_metadata_api
import time:     10394 |      10394 |               wandelbots_api_client.api.library_recipe_api
import time:      8123 |       8123 |               wandelbots_api_client.api.library_recipe_metadata_api
import time:      7344 |       7344 |               wandelbots_api_client.api.license_api
import time:     26932 |      26932 |               wandelbots_api_client.api.motion_api
import time:      8500 |       8500 |               wandelbots_api_client.api.motion_group_api
import time:     22398 |      22398 |               wandelbots_api_client.api.motion_group_infos_api
import time:      5093 |       5093 |               wandelbots_api_client.api.motion_group_jogging_api
import time:      8950 |       8950 |               wandelbots_api_client.api.motion_group_kinematic_api
import time:     15508 |      15508 |               wandelbots_api_client.api.program_api
import time:     16266 |      16266 |               wandelbots_api_client.api.program_operator_api
import time:     11874 |      11874 |               wandelbots_api_client.api.program_values_api
import time:     40759 |      40759 |               wandelbots_api_client.api.store_collision_components_api
import time:      9225 |       9225 |               wandelbots_api_client.api.store_collision_scenes_api
import time:     17226 |      17226 |               wandelbots_api_client.api.store_object_api
import time:      9915 |       9915 |               wandelbots_api_client.api.system_api
import time:      2416 |       2416 |               wandelbots_api_client.api.version_api
import time:     14332 |      14332 |               wandelbots_api_client.api.virtual_robot_api
import time:      5619 |       5619 |               wandelbots_api_client.api.virtual_robot_behavior_api
import time:     12975 |      12975 |               wandelbots_api_client.api.virtual_robot_mode_api
import time:     16989 |      16989 |               wandelbots_api_client.api.virtual_robot_setup_api
import time:       671 |     545258 |             wandelbots_api_client.api
import time:       344 |     796726 |           wandelbots_api_client
import time:       363 |        363 |                 pydantic.type_adapter
import time:       488 |        488 |                   email_validator.exceptions
import time:       256 |        256 |                   email_validator.types
import time:      7365 |       7365 |                       email_validator.rfc_constants
import time:       359 |       7724 |                     email_validator.syntax
import time:       248 |       7971 |                   email_validator.validate_email
import time:       254 |        254 |                   email_validator.version
import time:       415 |       9383 |                 email_validator
import time:     48696 |      58441 |               wandelbots_api_client.v2_pydantic.models
import time:       631 |        631 |                 wandelbots_api_client.v2_pydantic.configuration
import time:       548 |        548 |                 wandelbots_api_client.v2_pydantic.api_response
import time:       290 |        290 |                   wandelbots_api_client.v2_pydantic.exceptions
import time:       245 |        534 |                 wandelbots_api_client.v2_pydantic.rest
import time:       576 |       2288 |               wandelbots_api_client.v2_pydantic.api_client
import time:     13546 |      74275 |             wandelbots_api_client.v2_pydantic.api.application_api
import time:     31784 |      31784 |             wandelbots_api_client.v2_pydantic.api.bus_inputs_outputs_api
import time:     14586 |      14586 |             wandelbots_api_client.v2_pydantic.api.cell_api
import time:     25803 |      25803 |             wandelbots_api_client.v2_pydantic.api.controller_api
import time:      9497 |       9497 |             wandelbots_api_client.v2_pydantic.api.controller_inputs_outputs_api
import time:       479 |        479 |             wandelbots_api_client.v2_pydantic.api.jogging_api
import time:      4516 |       4516 |             wandelbots_api_client.v2_pydantic.api.kinematics_api
import time:      7059 |       7059 |             wandelbots_api_client.v2_pydantic.api.license_api
import time:      5476 |       5476 |             wandelbots_api_client.v2_pydantic.api.motion_group_api
import time:      3758 |       3758 |             wandelbots_api_client.v2_pydantic.api.motion_group_models_api
import time:      8398 |       8398 |             wandelbots_api_client.v2_pydantic.api.program_api
import time:     29865 |      29865 |             wandelbots_api_client.v2_pydantic.api.store_collision_components_api
import time:     10269 |      10269 |             wandelbots_api_client.v2_pydantic.api.store_collision_setups_api
import time:     11566 |      11566 |             wandelbots_api_client.v2_pydantic.api.store_object_api
import time:     17120 |      17120 |             wandelbots_api_client.v2_pydantic.api.system_api
import time:     10623 |      10623 |             wandelbots_api_client.v2_pydantic.api.trajectory_caching_api
import time:      1154 |       1154 |             wandelbots_api_client.v2_pydantic.api.trajectory_execution_api
import time:      5270 |       5270 |             wandelbots_api_client.v2_pydantic.api.trajectory_planning_api
import time:      2250 |       2250 |             wandelbots_api_client.v2_pydantic.api.version_api
import time:     61516 |      61516 |             wandelbots_api_client.v2_pydantic.api.virtual_controller_api
import time:      6816 |       6816 |             wandelbots_api_client.v2_pydantic.api.virtual_controller_behavior_api
import time:      7212 |       7212 |             wandelbots_api_client.v2_pydantic.api.virtual_controller_inputs_outputs_api
import time:       761 |     350044 |           wandelbots_api_client.v2_pydantic.api
import time:       535 |    1147304 |         wandelbots_api_client.v2_pydantic
import time:      1607 |    1148910 |       nova.actions.io
import time:      1283 |       1283 |       nova.actions.mock
import time:       268 |        268 |         nova.utils
import time:      1010 |       1010 |             nova.types.motion_settings
import time:       384 |        384 |                 numpy.version
import time:       178 |        178 |                 numpy._expired_attrs_2_0
import time:       319 |        319 |                     numpy._utils._convertions
import time:       184 |        502 |                   numpy._utils
import time:       239 |        740 |                 numpy._globals
import time:        13 |         13 |                   numpy._distributor_init_local
import time:       218 |        231 |                 numpy._distributor_init
import time:       232 |        232 |                           numpy.exceptions
import time:       246 |        246 |                           numpy._core._exceptions
import time:       200 |        200 |                           numpy._core.printoptions
import time:       166 |        166 |                           numpy.dtypes
import time:      2393 |       3236 |                         numpy._core._multiarray_umath
import time:       202 |        202 |                           numpy._utils._inspect
import time:       247 |        448 |                         numpy._core.overrides
import time:       476 |       4159 |                       numpy._core.multiarray
import time:       200 |        200 |                       numpy._core.umath
import time:       192 |        192 |                         numpy._core._dtype
import time:       181 |        181 |                         numpy._core._string_helpers
import time:       234 |        234 |                         numpy._core._type_aliases
import time:       249 |        855 |                       numpy._core.numerictypes
import time:       205 |        205 |                         numpy._core._ufunc_config
import time:       231 |        231 |                           numpy._core._methods
import time:       441 |        671 |                         numpy._core.fromnumeric
import time:       199 |       1074 |                       numpy._core._machar
import time:       234 |        234 |                           numpy._core.shape_base
import time:       190 |        190 |                           numpy._core._asarray
import time:       334 |        334 |                           numpy._core.arrayprint
import time:       647 |       1403 |                         numpy._core.numeric
import time:       253 |       1655 |                       numpy._core.einsumfunc
import time:       459 |        459 |                       numpy._core.function_base
import time:       256 |        256 |                       numpy._core.getlimits
import time:       198 |        198 |                       numpy._core.memmap
import time:       301 |        301 |                       numpy._core.records
import time:       540 |        540 |                       numpy._core._add_newdocs
import time:       309 |        309 |                       numpy._core._add_newdocs_scalars
import time:       186 |        186 |                       numpy._core._dtype_ctypes
import time:       393 |        393 |                       numpy._core._internal
import time:       183 |        183 |                       numpy._pytesttester
import time:       302 |      11063 |                     numpy._core
import time:         7 |      11070 |                   numpy._core._multiarray_umath
import time:       433 |      11502 |                 numpy.__config__
import time:       209 |        209 |                                   numpy._typing._nbit_base
import time:       239 |        239 |                                   numpy._typing._nested_sequence
import time:       180 |        180 |                                   numpy._typing._shape
import time:      1158 |       1784 |                                 numpy._typing._array_like
import time:       859 |        859 |                                 numpy._typing._char_codes
import time:      1127 |       1127 |                                 numpy._typing._dtype_like
import time:       196 |        196 |                                 numpy._typing._nbit
import time:       211 |        211 |                                 numpy._typing._scalars
import time:       186 |        186 |                                 numpy._typing._ufunc
import time:       282 |       4643 |                               numpy._typing
import time:       221 |        221 |                                 numpy.lib._stride_tricks_impl
import time:       232 |        452 |                               numpy.lib._twodim_base_impl
import time:       210 |        210 |                                 numpy.lib._array_utils_impl
import time:       181 |        390 |                               numpy.lib.array_utils
import time:       733 |        733 |                               numpy.linalg._umath_linalg
import time:       951 |       7168 |                             numpy.linalg._linalg
import time:       160 |        160 |                             numpy.linalg.linalg
import time:       210 |       7536 |                           numpy.linalg
import time:       419 |       7955 |                         numpy.matrixlib.defmatrix
import time:       203 |       8157 |                       numpy.matrixlib
import time:       240 |        240 |                         numpy.lib._histograms_impl
import time:       491 |        730 |                       numpy.lib._function_base_impl
import time:       188 |        188 |                       numpy.lib.stride_tricks
import time:       306 |       9380 |                     numpy.lib._index_tricks_impl
import time:       417 |       9796 |                   numpy.lib._arraypad_impl
import time:       375 |        375 |                   numpy.lib._arraysetops_impl
import time:       193 |        193 |                   numpy.lib._arrayterator_impl
import time:       268 |        268 |                   numpy.lib._nanfunctions_impl
import time:       253 |        253 |                         numpy.lib._utils_impl
import time:       230 |        483 |                       numpy.lib._format_impl
import time:       182 |        664 |                     numpy.lib.format
import time:       226 |        226 |                     numpy.lib._datasource
import time:       258 |        258 |                     numpy.lib._iotools
import time:       380 |       1527 |                   numpy.lib._npyio_impl
import time:       188 |        188 |                       numpy.lib._ufunclike_impl
import time:       285 |        473 |                     numpy.lib._type_check_impl
import time:       307 |        779 |                   numpy.lib._polynomial_impl
import time:       289 |        289 |                   numpy.lib._shape_base_impl
import time:       179 |        179 |                   numpy.lib._version
import time:       179 |        179 |                   numpy.lib.introspect
import time:       210 |        210 |                   numpy.lib.mixins
import time:       179 |        179 |                   numpy.lib.npyio
import time:       556 |        556 |                     numpy.lib._scimath_impl
import time:       208 |        763 |                   numpy.lib.scimath
import time:       251 |      14982 |                 numpy.lib
import time:       212 |        212 |                 numpy._array_api_info
import time:      1000 |      29225 |               numpy
import time:       471 |        471 |                     scipy.__config__
import time:       179 |        179 |                     scipy.version
import time:        13 |         13 |                       scipy._distributor_init_local
import time:       178 |        190 |                     scipy._distributor_init
import time:        31 |         31 |                         cython
import time:       412 |        443 |                       scipy._lib._testutils
import time:       180 |        623 |                     scipy._lib
import time:       703 |        703 |                     scipy._lib._pep440
import time:       545 |        545 |                       scipy._lib._ccallback_c
import time:       208 |        752 |                     scipy._lib._ccallback
import time:       307 |       3222 |                   scipy
import time:       499 |        499 |                       scipy._cyutility
import time:       454 |        454 |                                   numpy._typing._add_docstring
import time:       189 |        643 |                                 numpy.typing
import time:       432 |        432 |                                       scipy._lib.array_api_compat.common._typing
import time:       429 |        861 |                                     scipy._lib.array_api_compat.common._helpers
import time:       431 |       1291 |                                   scipy._lib.array_api_compat.common
import time:       194 |       1484 |                                 scipy._lib.array_api_compat
import time:       519 |        519 |                                         numpy.random._common
import time:       177 |        177 |                                         secrets
import time:       561 |       1255 |                                       numpy.random.bit_generator
import time:       685 |       1940 |                                     numpy.random._bounded_integers
import time:       490 |        490 |                                         numpy.random._pcg64
import time:       502 |        502 |                                         numpy.random._mt19937
import time:       738 |       1729 |                                       numpy.random._generator
import time:       481 |        481 |                                       numpy.random._philox
import time:       495 |        495 |                                       numpy.random._sfc64
import time:       841 |        841 |                                       numpy.random.mtrand
import time:       189 |       3732 |                                     numpy.random._pickle
import time:       230 |       5900 |                                   numpy.random
import time:      1336 |       1336 |                                     numpy.ma.core
import time:       547 |        547 |                                     numpy.ma.extras
import time:       246 |       2128 |                                   numpy.ma
import time:       412 |        412 |                                     numpy.fft._helper
import time:       583 |        583 |                                       numpy.fft._pocketfft_umath
import time:       259 |        842 |                                     numpy.fft._pocketfft
import time:       181 |        181 |                                     numpy.fft.helper
import time:       242 |       1676 |                                   numpy.fft
import time:       223 |        223 |                                         unittest.util
import time:       398 |        620 |                                       unittest.result
import time:       354 |        354 |                                         difflib
import time:       420 |        774 |                                       unittest.case
import time:       235 |        235 |                                       unittest.suite
import time:       352 |        352 |                                       unittest.loader
import time:       393 |        393 |                                           gettext
import time:       561 |        953 |                                         argparse
import time:       185 |        185 |                                           unittest.signals
import time:       215 |        400 |                                         unittest.runner
import time:       210 |       1563 |                                       unittest.main
import time:       210 |       3750 |                                     unittest
import time:       355 |        355 |                                     numpy.testing._private
import time:       180 |        180 |                                     numpy.testing.overrides
import time:      1729 |       1729 |                                     numpy.testing._private.extbuild
import time:        30 |         30 |                                       gc
import time:      1054 |       1083 |                                     numpy.testing._private.utils
import time:       232 |       7327 |                                   numpy.testing
import time:       263 |        263 |                                       numpy.polynomial.polyutils
import time:       240 |        240 |                                       numpy.polynomial._polybase
import time:       416 |        918 |                                     numpy.polynomial.chebyshev
import time:       240 |        240 |                                     numpy.polynomial.hermite
import time:       218 |        218 |                                     numpy.polynomial.hermite_e
import time:       213 |        213 |                                     numpy.polynomial.laguerre
import time:       203 |        203 |                                     numpy.polynomial.legendre
import time:       203 |        203 |                                     numpy.polynomial.polynomial
import time:       222 |       2215 |                                   numpy.polynomial
import time:       376 |        376 |                                     numpy.f2py.diagnose
import time:       486 |        486 |                                       numpy.f2py._backends
import time:       164 |        164 |                                       numpy.f2py.__version__
import time:       205 |        205 |                                         numpy.f2py.cfuncs
import time:       338 |        543 |                                       numpy.f2py.auxfuncs
import time:       591 |        591 |                                         numpy.f2py.cb_rules
import time:       280 |        280 |                                         numpy.f2py._isocbind
import time:       205 |        205 |                                           fileinput
import time:       471 |        471 |                                                 charset_normalizer.constant
import time:       610 |        610 |                                                   charset_normalizer.md__mypyc
import time:        20 |         20 |                                                     _multibytecodec
import time:       210 |        229 |                                                   charset_normalizer.utils
import time:       666 |       1504 |                                                 charset_normalizer.md
import time:       242 |        242 |                                                 charset_normalizer.models
import time:       262 |       2477 |                                               charset_normalizer.cd
import time:       372 |       2848 |                                             charset_normalizer.api
import time:       168 |        168 |                                             charset_normalizer.legacy
import time:       155 |        155 |                                             charset_normalizer.version
import time:       202 |       3372 |                                           charset_normalizer
import time:       532 |        532 |                                           numpy.f2py.symbolic
import time:      3898 |       8005 |                                         numpy.f2py.crackfortran
import time:       336 |       9211 |                                       numpy.f2py.capi_maps
import time:       192 |        192 |                                         numpy.f2py.func2subr
import time:       246 |        438 |                                       numpy.f2py.f90mod_rules
import time:       442 |        442 |                                         numpy.f2py.common_rules
import time:       177 |        177 |                                         numpy.f2py.use_rules
import time:      1495 |       2113 |                                       numpy.f2py.rules
import time:       253 |      13205 |                                     numpy.f2py.f2py2e
import time:       189 |      13768 |                                   numpy.f2py
import time:       233 |        233 |                                   numpy.rec
import time:       315 |        315 |                                       numpy._core.strings
import time:       179 |        179 |                                       numpy.strings
import time:       275 |        768 |                                     numpy._core.defchararray
import time:       194 |        962 |                                   numpy.char
import time:       331 |        331 |                                     numpy.core._utils
import time:       188 |        518 |                                   numpy.core
import time:       436 |        436 |                                     numpy.ctypeslib._ctypeslib
import time:       179 |        615 |                                   numpy.ctypeslib
import time:       186 |        186 |                                     scipy._lib.array_api_compat._internal
import time:       376 |        376 |                                     scipy._lib.array_api_compat.common._aliases
import time:       181 |        181 |                                       scipy._lib.array_api_compat.numpy._typing
import time:       218 |        399 |                                     scipy._lib.array_api_compat.numpy._info
import time:      1133 |       2093 |                                   scipy._lib.array_api_compat.numpy._aliases
import time:       346 |        346 |                                     scipy._lib.array_api_compat.common._linalg
import time:       461 |        806 |                                   scipy._lib.array_api_compat.numpy.linalg
import time:       180 |        180 |                                     scipy._lib.array_api_compat.common._fft
import time:       475 |        654 |                                   scipy._lib.array_api_compat.numpy.fft
import time:       319 |      39208 |                                 scipy._lib.array_api_compat.numpy
import time:       283 |        283 |                                 scipy._lib._sparse
import time:       313 |        313 |                                     pkgutil
import time:       756 |       1069 |                                   pydoc
import time:       628 |       1697 |                                 scipy._lib._docscrape
import time:       480 |      43792 |                               scipy._lib._array_api
import time:       455 |      44247 |                             scipy._lib._util
import time:       630 |      44876 |                           scipy.sparse._sputils
import time:       586 |        586 |                           scipy.sparse._matrix
import time:       535 |      45996 |                         scipy.sparse._base
import time:       621 |        621 |                           scipy.sparse._sparsetools
import time:       206 |        206 |                             scipy.sparse._data
import time:       184 |        184 |                             scipy.sparse._index
import time:       312 |        701 |                           scipy.sparse._compressed
import time:       241 |       1563 |                         scipy.sparse._csr
import time:       201 |        201 |                         scipy.sparse._csc
import time:       775 |        775 |                           scipy.sparse._csparsetools
import time:       230 |       1004 |                         scipy.sparse._lil
