import time: self [us] | cumulative | imported package
import time:       519 |       1014 |         pydantic.plugin._schema_validator
import time:       357 |       1371 |       pydantic._internal._mock_val_ser
import time:       267 |        267 |             fnmatch
import time:        32 |         32 |               _winapi
import time:        25 |         25 |               nt
import time:        23 |         23 |               nt
import time:        22 |         22 |               nt
import time:        22 |         22 |               nt
import time:        22 |         22 |               nt
import time:        37 |        181 |             ntpath
import time:       381 |        381 |               urllib
import time:       771 |        771 |               ipaddress
import time:       758 |       1909 |             urllib.parse
import time:       567 |       2921 |           pathlib
import time:       596 |        596 |           fractions
import time:        15 |         15 |             _uuid
import time:       370 |        384 |           uuid
import time:       429 |        429 |               sysconfig
import time:      1521 |       1521 |               _sysconfigdata__darwin_darwin
import time:       363 |        363 |               _osx_support
import time:      1077 |       3388 |             zoneinfo._tzpath
import time:       331 |        331 |             zoneinfo._common
import time:        27 |         27 |             _zoneinfo
import time:       280 |       4025 |           zoneinfo
import time:       275 |        275 |           pydantic.annotated_handlers
import time:      1468 |       1468 |           pydantic.functional_validators
import time:       290 |        290 |             pydantic._internal._core_metadata
import time:       446 |        446 |             pydantic._internal._schema_generation_shared
import time:       956 |       1691 |           pydantic.json_schema
import time:       413 |        413 |           pydantic._internal._discriminated_union
import time:       280 |        280 |           pydantic._internal._known_annotated_metadata
import time:       420 |        420 |           pydantic._internal._schema_gather
import time:       742 |      13211 |         pydantic._internal._generate_schema
import time:       360 |        360 |         pydantic._internal._signature
import time:       585 |      14155 |       pydantic._internal._model_construction
import time:      2921 |       2921 |       annotated_types
import time:       357 |        357 |       pydantic._internal._validators
import time:      2793 |       2793 |       pydantic.types
import time:        37 |         37 |             _csv
import time:       421 |        457 |           csv
import time:       386 |        386 |           email
import time:       281 |        281 |               importlib._abc
import time:        48 |        329 |             importlib.util
import time:        71 |         71 |               zlib
import time:       300 |        300 |                 _compression
import time:        16 |         16 |                 _bz2
import time:       287 |        601 |               bz2
import time:        26 |         26 |                 _lzma
import time:       300 |        325 |               lzma
import time:       412 |       1408 |             shutil
import time:       705 |       2441 |           zipfile
import time:       268 |        268 |               quopri
import time:        11 |         11 |                     _bisect
import time:       286 |        297 |                   bisect
import time:        13 |         13 |                   _random
import time:        51 |         51 |                   _sha512
import time:       540 |        898 |                 random
import time:       466 |        466 |                   calendar
import time:      1184 |       1650 |                 email._parseaddr
import time:       315 |        315 |                   email.base64mime
import time:       334 |        334 |                   email.quoprimime
import time:       515 |        515 |                   email.errors
import time:       322 |        322 |                   email.encoders
import time:       392 |       1876 |                 email.charset
import time:       455 |       4877 |               email.utils
import time:       466 |        466 |                 email.header
import time:       379 |        845 |               email._policybase
import time:       372 |        372 |               email._encoded_words
import time:       292 |        292 |               email.iterators
import time:       714 |       7365 |             email.message
import time:       320 |        320 |               importlib.metadata._functools
import time:       302 |        621 |             importlib.metadata._text
import time:       535 |       8521 |           importlib.metadata._adapters
import time:       392 |        392 |           importlib.metadata._meta
import time:       409 |        409 |           importlib.metadata._collections
import time:       321 |        321 |           importlib.metadata._itertools
import time:       501 |        501 |                   tempfile
import time:      1474 |       1474 |                   importlib.resources.abc
import time:       431 |        431 |                   importlib.resources._adapters
import time:       583 |       2989 |                 importlib.resources._common
import time:       292 |        292 |                 importlib.resources._legacy
import time:       336 |       3615 |               importlib.resources
import time:         6 |       3620 |             importlib.resources.abc
import time:       439 |       4059 |           importlib.abc
import time:       919 |      17901 |         importlib.metadata
import time:      1673 |      19573 |       pydantic.plugin._loader
import time:     12037 |     113942 |     nova.actions.base
import time:       290 |        290 |       nova.api
import time:       862 |        862 |                 pprint
import time:        22 |         22 |                       _json
import time:       356 |        377 |                     json.scanner
import time:       641 |       1018 |                   json.decoder
import time:       729 |        729 |                   json.encoder
import time:       285 |       2031 |                 json
import time:       664 |        664 |                 wandelbots_api_client.models.abb_controller_egm_server
import time:      1140 |       4695 |               wandelbots_api_client.models.abb_controller
import time:       598 |        598 |               wandelbots_api_client.models.activate_license_request
import time:       709 |        709 |                   wandelbots_api_client.models.vector3d
import time:       753 |       1461 |                 wandelbots_api_client.models.pose
import time:       646 |       2106 |               wandelbots_api_client.models.add_request
import time:       577 |        577 |                 wandelbots_api_client.models.tcp_pose
import time:       790 |       1366 |               wandelbots_api_client.models.all_joint_positions_request
import time:       559 |        559 |                 wandelbots_api_client.models.joints
import time:       590 |       1148 |               wandelbots_api_client.models.all_joint_positions_response
import time:       520 |        520 |               wandelbots_api_client.models.api_version
import time:       470 |        470 |                 wandelbots_api_client.models.container_environment_inner
import time:      1003 |       1003 |                   wandelbots_api_client.models.container_image_secrets_inner
import time:       492 |        492 |                   wandelbots_api_client.models.image_credentials
import time:       720 |       2213 |                 wandelbots_api_client.models.container_image
import time:       631 |        631 |                 wandelbots_api_client.models.container_resources
import time:       593 |        593 |                 wandelbots_api_client.models.container_storage
import time:       911 |       4817 |               wandelbots_api_client.models.app
import time:       394 |        394 |                   wandelbots_api_client.models.capture
import time:       500 |        500 |                   wandelbots_api_client.models.point_cloud
import time:       517 |        517 |                   wandelbots_api_client.models.pyjectory_datatypes_serializer_orientation
import time:       517 |        517 |                   wandelbots_api_client.models.pyjectory_datatypes_serializer_pose
import time:       525 |        525 |                   wandelbots_api_client.models.pyjectory_datatypes_serializer_position
import time:      1345 |       3794 |                 wandelbots_api_client.models.collection_value
import time:       497 |       4291 |               wandelbots_api_client.models.array_input
import time:      2462 |       2462 |                 wandelbots_api_client.models.response_get_values_programs_values_get_value
import time:       485 |       2946 |               wandelbots_api_client.models.array_output
import time:       484 |        484 |               wandelbots_api_client.models.behavior
import time:       605 |        605 |               wandelbots_api_client.models.blending_auto
import time:       653 |        653 |               wandelbots_api_client.models.blending_position
import time:       704 |        704 |               wandelbots_api_client.models.box
import time:       867 |        867 |               wandelbots_api_client.models.box2
import time:       769 |        769 |               wandelbots_api_client.models.box3
import time:       571 |        571 |               wandelbots_api_client.models.capsule
import time:       673 |        673 |               wandelbots_api_client.models.capsule2
import time:       573 |        573 |               wandelbots_api_client.models.capsule3
import time:       532 |        532 |                     wandelbots_api_client.models.fanuc_controller
import time:       575 |        575 |                       wandelbots_api_client.models.kuka_controller_rsi_server
import time:       776 |       1350 |                     wandelbots_api_client.models.kuka_controller
import time:       535 |        535 |                     wandelbots_api_client.models.universalrobots_controller
import time:       294 |        294 |                       wandelbots_api_client.models.manufacturer
import time:       681 |        681 |                       wandelbots_api_client.models.virtual_controller_types
import time:       760 |       1734 |                     wandelbots_api_client.models.virtual_controller
import time:       558 |        558 |                     wandelbots_api_client.models.yaskawa_controller
import time:       972 |       5679 |                   wandelbots_api_client.models.robot_controller_configuration
import time:       540 |       6219 |                 wandelbots_api_client.models.robot_controller
import time:       728 |       6946 |               wandelbots_api_client.models.cell
import time:       407 |        407 |               wandelbots_api_client.models.circle
import time:       587 |        587 |               wandelbots_api_client.models.code_with_arguments
import time:       722 |        722 |                   wandelbots_api_client.models.convex_hull2
import time:       652 |        652 |                   wandelbots_api_client.models.cylinder2
import time:       515 |        515 |                   wandelbots_api_client.models.plane2
import time:       677 |        677 |                   wandelbots_api_client.models.rectangle2
import time:       706 |        706 |                   wandelbots_api_client.models.rectangular_capsule2
import time:       552 |        552 |                   wandelbots_api_client.models.sphere2
import time:      1950 |       5773 |                 wandelbots_api_client.models.collider_shape
import time:       860 |        860 |                 wandelbots_api_client.models.pose2
import time:       626 |       7257 |               wandelbots_api_client.models.collider
import time:       614 |        614 |                   wandelbots_api_client.models.convex_hull3
import time:       738 |        738 |                   wandelbots_api_client.models.cylinder3
import time:       735 |        735 |                   wandelbots_api_client.models.plane3
import time:       807 |        807 |                   wandelbots_api_client.models.rectangle3
import time:      1293 |       1293 |                   wandelbots_api_client.models.rectangular_capsule3
import time:       605 |        605 |                   wandelbots_api_client.models.sphere3
import time:      1098 |       5886 |                 wandelbots_api_client.models.collider_output_shape
import time:       645 |        645 |                 wandelbots_api_client.models.pyjectory_datatypes_core_pose
import time:       678 |       7208 |               wandelbots_api_client.models.collider_input
import time:       590 |        590 |               wandelbots_api_client.models.collider_output
import time:       944 |        944 |                 wandelbots_api_client.models.collision_contact
import time:       892 |       1835 |               wandelbots_api_client.models.collision
import time:      1870 |       1870 |               wandelbots_api_client.models.collision_motion_group
import time:       789 |        789 |               wandelbots_api_client.models.collision_motion_group_assembly
import time:       859 |        859 |               wandelbots_api_client.models.collision_robot_configuration_input
import time:       678 |        678 |               wandelbots_api_client.models.collision_robot_configuration_output
import time:       602 |        602 |               wandelbots_api_client.models.collision_scene
import time:       950 |        950 |               wandelbots_api_client.models.collision_scene_assembly
import time:      1097 |       1097 |                   wandelbots_api_client.models.limits_override
import time:       688 |       1784 |                 wandelbots_api_client.models.command_settings
import time:       829 |        829 |                   wandelbots_api_client.models.cubic_spline_cubic_spline_parameter
import time:       500 |       1328 |                 wandelbots_api_client.models.cubic_spline
import time:       862 |       3973 |               wandelbots_api_client.models.command
import time:       360 |        360 |               wandelbots_api_client.models.comparator
import time:       482 |        482 |                   wandelbots_api_client.models.convex_hull
import time:       552 |        552 |                   wandelbots_api_client.models.cylinder
import time:       751 |        751 |                     wandelbots_api_client.models.quaternion
import time:       463 |       1214 |                   wandelbots_api_client.models.planner_pose
import time:       594 |        594 |                   wandelbots_api_client.models.rectangle
import time:       775 |        775 |                   wandelbots_api_client.models.rectangular_capsule
import time:       475 |        475 |                   wandelbots_api_client.models.sphere
import time:      1140 |       5230 |                 wandelbots_api_client.models.geometry
import time:       576 |       5806 |               wandelbots_api_client.models.compound
import time:       509 |        509 |               wandelbots_api_client.models.controller_capabilities
import time:       678 |        678 |                 wandelbots_api_client.models.motion_group_physical
import time:       941 |        941 |                 wandelbots_api_client.models.version_number
import time:      1873 |       3491 |               wandelbots_api_client.models.controller_instance
import time:       534 |        534 |               wandelbots_api_client.models.controller_instance_list
import time:       391 |        391 |                   wandelbots_api_client.models.rotation_angle_types
import time:       649 |       1039 |                 wandelbots_api_client.models.rotation_angles
import time:       716 |       1755 |               wandelbots_api_client.models.coordinate_system
import time:       538 |        538 |               wandelbots_api_client.models.coordinate_systems
import time:       684 |        684 |                 wandelbots_api_client.models.pyriphery_etcd_etcd_configuration
import time:       666 |        666 |                 wandelbots_api_client.models.pyriphery_hardware_isaac_isaac_configuration
import time:      1215 |       1215 |                 wandelbots_api_client.models.pyriphery_opcua_opcua_configuration
import time:       873 |        873 |                 wandelbots_api_client.models.pyriphery_pyrae_controller_controller_configuration
import time:       949 |        949 |                 wandelbots_api_client.models.pyriphery_pyrae_robot_robot_configuration
import time:      1288 |       1288 |                 wandelbots_api_client.models.pyriphery_robotics_configurable_collision_scene_configurable_collision_scene_configuration_input
import time:       760 |        760 |                 wandelbots_api_client.models.pyriphery_robotics_robotcell_timer_configuration
import time:       770 |        770 |                 wandelbots_api_client.models.pyriphery_robotics_simulation_robot_with_view_open3d_configuration
import time:       653 |        653 |                 wandelbots_api_client.models.pyriphery_robotics_simulation_simulated_io_configuration
import time:       622 |        622 |                 wandelbots_api_client.models.pyriphery_robotics_simulation_simulated_opcua_configuration
import time:      1256 |       9731 |               wandelbots_api_client.models.create_device_request_inner
import time:       615 |        615 |               wandelbots_api_client.models.create_program_run200_response
import time:       544 |        544 |               wandelbots_api_client.models.create_program_run_request
import time:      1465 |       1465 |               wandelbots_api_client.models.create_trigger200_response
import time:       771 |        771 |                   wandelbots_api_client.models.opcua_node_value_trigger_config_node_value
import time:       552 |       1322 |                 wandelbots_api_client.models.opcua_node_value_trigger_config
import time:       337 |        337 |                 wandelbots_api_client.models.trigger_type
import time:       693 |       2351 |               wandelbots_api_client.models.create_trigger_request
import time:       534 |        534 |               wandelbots_api_client.models.cubic_spline_parameter
import time:       451 |        451 |               wandelbots_api_client.models.cycle_time
import time:       966 |        966 |               wandelbots_api_client.models.dh_parameter
import time:       318 |        318 |               wandelbots_api_client.models.direction
import time:       965 |        965 |               wandelbots_api_client.models.direction_jogging_request
import time:       512 |        512 |               wandelbots_api_client.models.error
import time:       784 |        784 |                 wandelbots_api_client.models.initialize_movement_request
import time:       546 |        546 |                 wandelbots_api_client.models.pause_movement_request
import time:       510 |        510 |                 wandelbots_api_client.models.playback_speed_request
import time:       698 |        698 |                     wandelbots_api_client.models.io_value
import time:      1053 |       1751 |                   wandelbots_api_client.models.pause_on_io
import time:       536 |        536 |                   wandelbots_api_client.models.set_io
import time:       533 |        533 |                   wandelbots_api_client.models.start_on_io
import time:       816 |       3634 |                 wandelbots_api_client.models.start_movement_request
import time:       865 |       6338 |               wandelbots_api_client.models.execute_trajectory_request
import time:       660 |        660 |                   wandelbots_api_client.models.initialize_movement_response_init_response
import time:       483 |       1142 |                 wandelbots_api_client.models.initialize_movement_response
import time:       730 |        730 |                         wandelbots_api_client.models.force_vector
import time:       586 |        586 |                         wandelbots_api_client.models.motion_group_state_joint_limit_reached
import time:       647 |        647 |                         wandelbots_api_client.models.motion_vector
import time:      1336 |       3297 |                       wandelbots_api_client.models.motion_group_state
import time:      2192 |       5488 |                     wandelbots_api_client.models.robot_controller_state
import time:       684 |       6172 |                   wandelbots_api_client.models.movement_movement
